evidence_id,record_id,ingredient_id,population,exposure,comparator,outcome,effect_value,effect_unit,source_id,locator,verbatim_quote,review_status,reviewer_id,reviewed_at
AI-FT-EV-K3-40382392-02,EV-K3-40382392,K3,,,,safety;tolerability;harm,,,PMC12085664,"PMC12085664, Materials and methods > Clinical, Par7","A first-in-human, double-blind, randomized, placebo-controlled, two-arm crossover study was conducted to evaluate the safety, tolerability, and pharmacodynamics of ascending dose levels of BBI-001 after a single administration in iron deficient participants (NCT05238207, 14/02/2022). Safety and tolerability were assessed according to the 2021 Medical Dictionary for Regulatory Activities (MedDRA).",verified,권혁찬,2026-07-13T11:55:10.086Z
AI-FT-EV-K3-40382392-03,EV-K3-40382392,K3,,,,iron overload;side effect;safety,,,PMC12085664,"PMC12085664, Discussion, Par18","Iron overload occurs in two ways: blood transfusion or iron accumulation from diet. Transfusion-dependent iron overload is associated with diseases such as beta thalassemia, where excess iron is present because of transfusions.",verified,권혁찬,2026-07-13T11:55:10.086Z
AI-FT-EV-K3-40382392-04,EV-K3-40382392,K3,,500 mg;1000 mg;2000 mg;150 mg;10 mg,,safety;harm,,,PMC12085664,"PMC12085664, Results > Study design and demographics, Par10","The starting BBI-001 dose level was 500 mg administered to Cohort 1 subjects. Subsequently, the BBI-001 dose levels increased to 1000 mg and 2000 mg in Cohort 2 and Cohort 3, respectively, based on a review of the prior cohort safety data by the Safety Review Committee.",verified,권혁찬,2026-07-13T11:55:10.086Z
AI-FT-EV-K3-40382392-05,EV-K3-40382392,K3,,10 mg,,safety;harm,,,PMC12085664,"PMC12085664, Introduction, Par5","A double-blind, placebo-controlled, Phase 1b, clinical trial was conducted to establish the safety of single escalating doses of BBI-001 and to establish proof-of-mechanism. Since BBI-001 is not absorbed from the gut after oral administration and is eliminated in the feces, the pharmacodynamic effect on iron absorption was assessed.",verified,권혁찬,2026-07-13T11:55:10.086Z
AI-FT-EV-K3-40542094-01,EV-K3-40542094,K3,children,,,gastrointestinal;side effect;safety,,,PMC12811114,"PMC12811114, Discussion > Efficacy of liposomal iron intervention, Par47","As conventional iron supplementation for managing non-anemic iron deficiency was linked to a 30% occurrence of gastrointestinal side effects which decrease therapy adherence and compliance resulting in a high rate of dose reduction and treatment discontinuation, the inclusion of concealed iron in liposomal iron formulations leads to better absorption, avoiding unpleasant taste, and enhancing therapy adherences with lesser side effects reported in only 3.1% of children in a previous trial.16,46 T",verified,권혁찬,2026-07-13T11:55:11.178Z
AI-FT-EV-K3-40542094-02,EV-K3-40542094,K3,,,,constipation;adverse effect;side effect,,,PMC12811114,"PMC12811114, Results > Compliance and adverse effects, Par40","Additionally, no serious adverse effects were observed in any of the groups. Constipation, loose stools, and darkening of the stool were observed in very close percentages among the three groups.",verified,권혁찬,2026-07-13T11:55:11.178Z
AI-FT-EV-K3-40542094-03,EV-K3-40542094,K3,Children,19.2 mg;1 mg;1.4 mg,,harm,,,PMC12811114,"PMC12811114, Methods > Study groups and intervention, Par29","An independent pharmacist prepared and pre-labeled packs (each containing the drug that matched the assigned trial code). Each sachet contains 19.2 mg equivalent elemental iron pyrophosphate, which is reconstructed into 19.2 ml of water, forming a suspension of 1 mg per ml.",verified,권혁찬,2026-07-13T11:55:11.178Z
AI-FT-EV-K3-40542094-04,EV-K3-40542094,K3,child,105 days,,adverse effect,,,PMC12811114,"PMC12811114, Methods > Study groups and intervention, Par30","Adverse effects were monitored throughout the study by a questionnaire delivered to the parents of each child, which outlined the main adverse effects anticipated from iron therapy.",verified,권혁찬,2026-07-13T11:55:11.178Z
AI-FT-EV-K3-40542094-05,EV-K3-40542094,K3,children,59 months,,risk,,,PMC12811114,"PMC12811114, Discussion > Prevalence of iron deficiency anemia and non-anemic iron deficiency, Par42","The prevalence of iron deficiency anemia in our study was 33.7%, which matches the global prevalence of iron deficiency anemia (30%) as the most common nutritional deficiency of the population.31 Also, a previous study in Egypt showed that iron deficiency anemia prevalence among children aged 6-59 months ranged from 27% to 43% between 2014 and 2021.32 This prevalence could be considered a moderate risk according to the WHO’s public health grading criteria for iron deficiency anemia status in dif",verified,권혁찬,2026-07-13T11:55:11.178Z
AI-FT-EV-K3-40841680-01,EV-K3-40841680,K3,,,,gastrointestinal;nausea;constipation;diarrhea;abdominal;side effect,,,PMC12372323,"PMC12372323, Introduction, Par9","However, gastrointestinal side effects like nausea, constipation, diarrhea, abdominal pain, and metallic taste can lower patient adherence [12–14].",verified,권혁찬,2026-07-13T11:55:10.587Z
