quantitative_id,evidence_id,record_id,ingredient_id,statistic_type,measure_label,estimate,ci_lower,ci_upper,range_lower,range_upper,numerator,denominator,unit,exact_text,source_id,locator,extraction_method,validation_status,synthesis_eligible
QT-AI-FT-EV-K4-32956536-03-02,AI-FT-EV-K4-32956536-03,EV-K4-32956536,K4,reported_percentage,percentage,8,,,,,,,%,8%,PMC8094171,"PMC8094171, Magnesium versus other treatments, html-p148",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-35280833-04-01,AI-FT-EV-K4-35280833-04,EV-K4-35280833,K4,relative_effect_measure,OR,5,,,,,,,ratio,or 5,PMC8860108,"PMC8860108, DISCUSSION, p61",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-37487817-04-01,AI-FT-EV-K4-37487817-04,EV-K4-37487817,K4,reported_percentage,percentage,4,,,,,,,%,<4%,PMC10509448,"PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0100",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-40944226-05-01,AI-FT-EV-K4-40944226-05,EV-K4-40944226,K4,reported_percentage,percentage,80,,,,,,,%,80%,PMC12430086,"PMC12430086, 3. Results > 3.1. Chemotherapy-Induced Toxicity per System, p23",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-41286042-05-01,AI-FT-EV-K4-41286042-05,EV-K4-41286042,K4,reported_percentage,percentage,23.2,,,,,,,%,23.2%,PMC12644863,"PMC12644863, Discussion, Par43",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K4-41286042-05-02,AI-FT-EV-K4-41286042-05,EV-K4-41286042,K4,reported_percentage,percentage,6.2,,,,,,,%,6.2%,PMC12644863,"PMC12644863, Discussion, Par43",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-01-01,AI-FT-EV-K5-31910279-01,EV-K5-31910279,K5,reported_percentage,percentage,1.9,,,,,,,%,1.9%,PMC6990807,"PMC6990807, Discussion, html-p83",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-01,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,34,,,,,,,%,34%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-02,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,35,,,,,,,%,35%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-03,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,0.9,,,,,,,%,0.9%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
QT-AI-FT-EV-K5-31910279-02-04,AI-FT-EV-K5-31910279-02,EV-K5-31910279,K5,reported_percentage,percentage,95,,,,,,,%,95%,PMC6990807,"PMC6990807, Results, html-p24",deterministic_regex_from_human_verified_quote,codex_structured_not_independently_verified,false
