candidate_id,item_sequence,document_type,document_label,page,source_locator,pdf_path,text_path,pdf_sha256,page_text_sha256,character_count
SAFE-OTC-01,202106092,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/202106092/UD.pdf,research_v3/otc/extracted/nedrug/202106092/UD.txt,570dbb88246895d1a6ebfd95231d814ce7391a851cc0d1cc64db99b13f6cdaf2,908cd0563ac6c4c9a1814cd30eb155a6084ebd9380964b79234fd8795f47409e,139
SAFE-OTC-01,202106092,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/202106092/NB.pdf,research_v3/otc/extracted/nedrug/202106092/NB.txt,0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,08dc53ff678ba26602efd072c46ec0358aaa6a653d91dd9c42f3b6c51f59c289,1012
SAFE-OTC-01,202106092,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/202106092/NB.pdf,research_v3/otc/extracted/nedrug/202106092/NB.txt,0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,ca432bb358666a3b1abb16796c7b9a37e5b721fab299b2862ccfc9732b131d2e,840
SAFE-OTC-01,202106092,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/202106092/NB.pdf,research_v3/otc/extracted/nedrug/202106092/NB.txt,0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,4fe316a6ce6ae1ea1737e0f81a8e2118aa3921fce321befac1e61a9dd3f96723,1032
SAFE-OTC-01,202106092,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/202106092/NB.pdf,research_v3/otc/extracted/nedrug/202106092/NB.txt,0c8ea0d7eb164b27673fc8549c42a06d874fdfa26047db8d0681b3a2f79c9442,65b871badcac22c0ed9388d1688b91548e03db0aabbe206a763af0ee7393e763,1009
SAFE-OTC-02,199402278,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/199402278/EE.pdf,research_v3/otc/extracted/nedrug/199402278/EE.txt,61d13cac7d20300b0d0b0e820244f474589f78f8abd5dd3c770ce422f48b9f17,a60e908c5030b1f4a5123c8da9b4ee1eb8eda8f93a2cb96c4c073f5468c9a0ab,123
SAFE-OTC-02,199402278,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/199402278/UD.pdf,research_v3/otc/extracted/nedrug/199402278/UD.txt,b74c9daf75f50b69c4d50fdcfc0ebb20e81d772b50496ac46fa1e9e442f96510,8a99a8460ff4b066e926274a2f8f35acad305c78f2c613d3ba3645393a9f70b4,726
SAFE-OTC-02,199402278,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/199402278/NB.pdf,research_v3/otc/extracted/nedrug/199402278/NB.txt,da0d19031cb025975433df8866ee6f11fd1eb04809fa6796e8b13ebf6dd33147,e23568198e2617908f5023b88d2d4505e2bc7449b1615715e4df88bf2bb0f279,1066
SAFE-OTC-02,199402278,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/199402278/NB.pdf,research_v3/otc/extracted/nedrug/199402278/NB.txt,da0d19031cb025975433df8866ee6f11fd1eb04809fa6796e8b13ebf6dd33147,570790d598e8ee91900425b5e6bea77df7fcc3c7f719c8ebf02d24abf536cb44,859
SAFE-OTC-02,199402278,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/199402278/NB.pdf,research_v3/otc/extracted/nedrug/199402278/NB.txt,da0d19031cb025975433df8866ee6f11fd1eb04809fa6796e8b13ebf6dd33147,41ea03af8afcc1764eb0ce4019b3562e706bed7a641a6bc9138cc797ed6df117,974
SAFE-OTC-02,199402278,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/199402278/NB.pdf,research_v3/otc/extracted/nedrug/199402278/NB.txt,da0d19031cb025975433df8866ee6f11fd1eb04809fa6796e8b13ebf6dd33147,a68e0f66c442973da9f9bff5145535f79120a236d70d4a30142a79b62f5a2c4f,784
SAFE-OTC-03,199303109,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/199303109/EE.pdf,research_v3/otc/extracted/nedrug/199303109/EE.txt,09c5dbb05be90f316aec41c6cbec613c398170cc5f4cbe58ee240a418fabbd7a,a60e908c5030b1f4a5123c8da9b4ee1eb8eda8f93a2cb96c4c073f5468c9a0ab,123
SAFE-OTC-03,199303109,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/199303109/UD.pdf,research_v3/otc/extracted/nedrug/199303109/UD.txt,05d69501e029b3f7b48b75504000bab08989a664ea6932ad01c6447e788f10f0,46d614cbb3f147ee0a270ab9caca81e90c5b773d7def14eb1648aaafe8755fe3,727
SAFE-OTC-03,199303109,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/199303109/NB.pdf,research_v3/otc/extracted/nedrug/199303109/NB.txt,43b1ab0c1067d64d06c910ff329b5a63a993c3c57e45025aa7246b3e91e1d9c2,a71b6c035aca727abd800c57f096fab255a0cfc6c78def5d39821e4b2ccd24f5,1038
SAFE-OTC-03,199303109,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/199303109/NB.pdf,research_v3/otc/extracted/nedrug/199303109/NB.txt,43b1ab0c1067d64d06c910ff329b5a63a993c3c57e45025aa7246b3e91e1d9c2,4acf63ee0288cb24fc545c6ab99c942fed3103b0906906662b4926f167435031,860
SAFE-OTC-03,199303109,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/199303109/NB.pdf,research_v3/otc/extracted/nedrug/199303109/NB.txt,43b1ab0c1067d64d06c910ff329b5a63a993c3c57e45025aa7246b3e91e1d9c2,516879453c8198a51b52e9dbc211957f6ba21b406ed64ecc2fde32f5f364598a,902
SAFE-OTC-03,199303109,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/199303109/NB.pdf,research_v3/otc/extracted/nedrug/199303109/NB.txt,43b1ab0c1067d64d06c910ff329b5a63a993c3c57e45025aa7246b3e91e1d9c2,1d465acb744a3ec942ad48762256199a88cd19027fc7442dea80f566479e9575,782
SAFE-OTC-04,202200525,EE,효능효과,1,효능효과 PDF p.1,research_v3/otc/raw/nedrug/202200525/EE.pdf,research_v3/otc/extracted/nedrug/202200525/EE.txt,5ece2d21eaf6df64389e5ea4e6019717250866cc5768275d5a7da27ccf7ed5ee,a60e908c5030b1f4a5123c8da9b4ee1eb8eda8f93a2cb96c4c073f5468c9a0ab,123
SAFE-OTC-04,202200525,UD,용법용량,1,용법용량 PDF p.1,research_v3/otc/raw/nedrug/202200525/UD.pdf,research_v3/otc/extracted/nedrug/202200525/UD.txt,c1cc41edcfa122cf1d0f48546e702504e04a18fe11560d752e789b34dd354300,ba961bfed3afff01fa99abaa62eb628ad3789de9f9a1802b7995c233bb1ef4c5,746
SAFE-OTC-04,202200525,NB,사용상의주의사항,1,사용상의주의사항 PDF p.1,research_v3/otc/raw/nedrug/202200525/NB.pdf,research_v3/otc/extracted/nedrug/202200525/NB.txt,5150a7cae99a092b9795b19c9fa1622f0ed1c1bcdd7f34613c0c4a09c0930d4b,6b7aaf74b6b0679aeb69f962fbcaa38c37630c3ba738ea7315268184227150f1,1012
SAFE-OTC-04,202200525,NB,사용상의주의사항,2,사용상의주의사항 PDF p.2,research_v3/otc/raw/nedrug/202200525/NB.pdf,research_v3/otc/extracted/nedrug/202200525/NB.txt,5150a7cae99a092b9795b19c9fa1622f0ed1c1bcdd7f34613c0c4a09c0930d4b,e32e909742eb5e3d63770c76e2831d13a5bc54d69f3a63f741ac8078e8807deb,860
SAFE-OTC-04,202200525,NB,사용상의주의사항,3,사용상의주의사항 PDF p.3,research_v3/otc/raw/nedrug/202200525/NB.pdf,research_v3/otc/extracted/nedrug/202200525/NB.txt,5150a7cae99a092b9795b19c9fa1622f0ed1c1bcdd7f34613c0c4a09c0930d4b,6ed90f3da2b3ff1a7964a7eb2d6b99064c1b320441e3047c1ebb6a2b1d24cc10,1073
SAFE-OTC-04,202200525,NB,사용상의주의사항,4,사용상의주의사항 PDF p.4,research_v3/otc/raw/nedrug/202200525/NB.pdf,research_v3/otc/extracted/nedrug/202200525/NB.txt,5150a7cae99a092b9795b19c9fa1622f0ed1c1bcdd7f34613c0c4a09c0930d4b,9bcf71216170213771a5d777764fbd9dda2ee35ddf238e56b1f4e469c0ea4a61,1016
