ingredient_form_group_id,ingredient_codes,official_dosage_form,research_classifications,official_product_count,retail_sku_count,official_product_keys
HKG-0c87b931023a5bd45838,I001019,연질캡슐,other_otc,2,2,health.kr:2009071505879;health.kr:2009071505939
HKG-0df9897eeb32fb4cad75,I002817;I004842,정제,analgesic_antiinflammatory,3,3,health.kr:2009071505474;health.kr:A11AHHHHH0014;health.kr:A11AOOOOO2522
HKG-0f68be8fe7150fbfab9e,I000039;I003682,장용정,gastrointestinal,1,1,health.kr:A11AKP09B0023
HKG-102b0c5b1c0352b39a6d,I000703;I001069;I001985;I003412;I003529;I004465,정제,topical_or_local,1,1,health.kr:2017082400007
HKG-11e7d8892d033f9e74e7,I000846,연고,topical_or_local,1,1,health.kr:A11AOOOOO6837
HKG-14128410742cdaf9a3a1,I001699;I001885;I002817;I005512;I006323;I006344;I006469;I008121,액제,analgesic_antiinflammatory,1,1,health.kr:2012091400009
HKG-143055e2b4e41e8a3707,I000594;I000679;I000968;I001696;I001885;I002639;I006079;I006157;I006177;I006447;I006981;I012235,액제,gastrointestinal,1,1,health.kr:2022120700002
HKG-15244b23b1ac5364733a,I002445,액제,topical_or_local,1,1,health.kr:A11A0340A0060
HKG-17bbd1bcfb34fda13979,IB00089,정제,other_otc;topical_or_local,3,3,health.kr:A11A0090A0025;health.kr:A11AKP09E0049;health.kr:A11AOOOOO2441
HKG-18cd3b8e56cfa69ac53b,I002555,경질캡슐,gastrointestinal,1,1,health.kr:A11A1270B0089
HKG-18d4a60c093197609e55,I000032;I000259;I000622;I001069;I001587;I001985;I002541;I002717;I003409;I003412;I003529;I004351;I004465;I004642;I004819;I004928;I005733;I005885;I006525;I012318,정제,topical_or_local,1,1,health.kr:2016090900001
HKG-1b175327fdfd933d7083,I000039;I001081;I003682,장용정,gastrointestinal,1,1,health.kr:2024040100016
HKG-1d74c6fda0b1eaee23e9,I003223,분무제,topical_or_local,1,1,health.kr:2014042400002
HKG-1e0d1c585ddc0a798d05,I000268;I000485;I001223;I001699;I001885;I002909;I004272;I004348;I006052;I006054;I006068;I006077;I006079;I006111;I006158;I006225;I006353;I006430;I006447;I006519;I006542;I006550;I008116;I008198;I008368;I008369;I008374;I012274,환제,other_otc,1,1,health.kr:r2akid2k0uy5q
HKG-1e97268c4d4765137c3e,I001699,경질캡슐,other_otc,1,1,health.kr:2023033000006
HKG-213d09f4a2370b8f7751,I002541;I006317;I006913;I007314,과립,gastrointestinal,1,1,health.kr:2009071505688
HKG-21662b913a125079c88c,I000860;I001784;I002817;I004615;I005995;I006174;I006474,경질캡슐,analgesic_antiinflammatory,1,1,health.kr:A11AKP07L0206
HKG-218e112243de2fd0d54a,I001982;I003412,액제,topical_or_local,2,2,health.kr:2016021700002;health.kr:A11APPPPP1478
HKG-231f2b3b932d46e3a8ac,I001019;I002468;I004099;I004580;I006194,액제,antihistamine,2,2,health.kr:A11A3060A0344;health.kr:A11AKP08F1048
HKG-25dacecc2c044d4174a0,I002445,크림,topical_or_local,1,1,health.kr:A11AKP08G2904
HKG-25fc361dedc94181d3a4,I009175,연질캡슐,other_otc,1,1,health.kr:A11AKP08G4017
HKG-27b8f38249be6d363127,I001587,정제,other_otc,1,1,health.kr:A11A2460B0032
HKG-2a1b6ece9057aec16642,I000259;I000703;I001587;I003412;I007775,정제,other_otc,1,1,health.kr:2016110200007
HKG-2a6ee46237f654ac67c3,I000032;I000249;I000259;I000703;I001069;I001471;I001587;I001985;I002011;I002541;I003201;I003412;I003529;I004351;I005889;I006520;I006606;I012318;I012319,정제,other_otc,1,1,health.kr:2023041700003
HKG-2c1ca1c4211d8312e875,I004326,액제,gastrointestinal,3,3,health.kr:2016012600005;health.kr:2016112300002;health.kr:2024121100004
HKG-2ccb5ce4ce5b0d57de5d,I000-12;I000107;I003719;I005733;I006878;I006974;I007344;I007382;I010046,정제,analgesic_antiinflammatory,1,1,health.kr:A11AOOOOO0816
HKG-2ec6544ecd7ad35ea030,I000032;I000259;I000622;I000703;I001587;I001985;I002541;I002717;I003412;I003529;I004351;I004465;I004928;I005733;I005885,정제,gastrointestinal,1,1,health.kr:2023062300001
HKG-2f61ca7ac0e637765c31,I000451;I002802;I003719;I005733;I006974;I007344;I007470,장용정,gastrointestinal,1,1,health.kr:A11A0740B0011
HKG-2f923ae3aa6345ee16f0,I005341,크림,topical_or_local,1,1,health.kr:A11ABBBBB1105
HKG-30bf750b256409c4df2a,I000039;I001081,장용정,gastrointestinal,2,2,health.kr:2009092300055;health.kr:A11AKP08A0151
HKG-319beab70d496f1a64d8,I006185;I006454;I008308,환제,gastrointestinal,2,2,health.kr:A11AKP08G1273;health.kr:A11AKP08L0127
HKG-33a80218bcdf390c18e1,I002775;I004615,분무제,cold_respiratory,2,2,health.kr:2023091500031;health.kr:2024032800007
HKG-340fb989ceadc85a7b4d,I000451;I002802;I003719;I005733,장용정,gastrointestinal,1,2,health.kr:A11A0740B0009
HKG-354865ae744360937f76,I001069;I001985,연질캡슐,other_otc,1,1,health.kr:A11AOOOOO1897
HKG-36fa40f2689a8723e358,I000485;I001223;I001784;I006065;I006449;I006474,액제,cold_respiratory,1,1,health.kr:2019090900165
HKG-375b3a27ee1489c93188,IB00086,과립,gastrointestinal,1,1,health.kr:A11A0090A0026
HKG-3845400934e1a99281a6,I001696;I006024;I006079;I006157;I006276;I006469;I006503;I008165;I008202;I008286;I008352;I008451,액제,gastrointestinal,1,1,health.kr:A11A1240A0068
HKG-385dc0e347412557e578,I000032;I000234;I000249;I000622;I000703;I001985;I003412;I003529;I003594;I004351;I004465;I004524;I004642;I005885,정제,topical_or_local,1,1,health.kr:2015092400006
HKG-3b1a45719b7690c6570b,I000234;I003744;I003757,현탁액,gastrointestinal,3,3,health.kr:2014022800018;health.kr:2014061600003;health.kr:A11AKP08G0782
HKG-3c08c769109a55bde4cf,I000213;I002541;I002815;I003529;I004112;I004615;I005414;I006090,정제,antihistamine,1,1,health.kr:2018041600003
