candidate_pair_id,record_id_a,record_id_b,match_basis,similarity_score,auto_proposal,human_decision,representative_record_id,reviewer_id,timestamp
DUP-00073,pubmed:19167163:K5,pubmed:19167163:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:19167163:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00074,pubmed:19174830:K5,pubmed:19174830:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:19174830:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00075,pubmed:19789845:K5,pubmed:19789845:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:19789845:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00076,pubmed:19904293:K5,pubmed:19904293:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:19904293:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00077,pubmed:20019924:K5,pubmed:20019924:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20019924:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00078,pubmed:20020882:K5,pubmed:20020882:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20020882:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00079,pubmed:20035439:K5,pubmed:20035439:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20035439:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00080,pubmed:20120791:K5,pubmed:20120791:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20120791:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00081,pubmed:20301481:K5,pubmed:20301481:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20301481:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00082,pubmed:2030593:K5,pubmed:2030593:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:2030593:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00083,pubmed:20548321:K5,pubmed:20548321:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20548321:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00084,pubmed:20863398:K5,pubmed:20863398:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:20863398:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00085,pubmed:2127745:K4,pubmed:2127745:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:2127745:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00086,pubmed:2133626:K4,pubmed:2133626:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:2133626:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00087,pubmed:21421535:K5,pubmed:21421535:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:21421535:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00088,pubmed:21888180:K5,pubmed:21888180:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:21888180:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00089,pubmed:21901727:K5,pubmed:21901727:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:21901727:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00090,pubmed:22443491:K5,pubmed:22443491:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22443491:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00091,pubmed:22473261:K5,pubmed:22473261:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22473261:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00092,pubmed:22493160:K5,pubmed:22493160:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22493160:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00093,pubmed:22512666:K5,pubmed:22512666:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22512666:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00094,pubmed:22512666:K5,pubmed:22512666:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22512666:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00095,pubmed:22674589:K4,pubmed:22674589:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22674589:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00096,pubmed:22675435:K5,pubmed:22675435:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22675435:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00097,pubmed:22773121:K5,pubmed:22773121:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22773121:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00098,pubmed:22959313:K5,pubmed:22959313:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:22959313:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00099,pubmed:23202962:K4,pubmed:23202962:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23202962:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00100,pubmed:23365345:K5,pubmed:23365345:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23365345:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00101,pubmed:23378389:K5,pubmed:23378389:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23378389:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00102,pubmed:23485663:K5,pubmed:23485663:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23485663:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00103,pubmed:23510284:K5,pubmed:23510284:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23510284:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00104,pubmed:23552267:K5,pubmed:23552267:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23552267:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00105,pubmed:23602230:K5,pubmed:23602230:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23602230:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00106,pubmed:23647723:K4,pubmed:23647723:K2,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23647723:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00107,pubmed:23750103:K4,pubmed:23750103:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23750103:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00108,pubmed:23878126:K5,pubmed:23878126:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:23878126:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00109,pubmed:2400470:K5,pubmed:2400470:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:2400470:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00110,pubmed:24009938:K5,pubmed:24009938:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24009938:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00111,pubmed:24038242:K5,pubmed:24038242:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24038242:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00112,pubmed:24074841:K5,pubmed:24074841:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24074841:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00113,pubmed:24308244:K4,pubmed:24308244:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24308244:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00114,pubmed:24336443:K5,pubmed:24336443:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24336443:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00115,pubmed:24487252:K4,pubmed:24487252:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24487252:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00116,pubmed:24555649:K5,pubmed:24555649:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24555649:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00117,pubmed:24634837:K5,pubmed:24634837:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24634837:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00118,pubmed:24670951:K5,pubmed:24670951:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24670951:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00119,pubmed:24691577:K5,pubmed:24691577:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24691577:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00120,pubmed:24714874:K5,pubmed:24714874:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24714874:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00121,pubmed:24948745:K5,pubmed:24948745:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:24948745:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00122,pubmed:25176360:K5,pubmed:25176360:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25176360:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00123,pubmed:25248994:K5,pubmed:25248994:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25248994:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00124,pubmed:25281651:K4,pubmed:25281651:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25281651:K4,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00125,pubmed:25348762:K5,pubmed:25348762:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25348762:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00126,pubmed:25420455:K5,pubmed:25420455:K3,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25420455:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00127,pubmed:25904522:K5,pubmed:25904522:K1,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25904522:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
DUP-00128,pubmed:25980471:K5,pubmed:25980471:K4,pmid,1.0,duplicate,not_evaluated_scope_reduction,pubmed:25980471:K5,codex_deterministic_dedup_v1,2026-07-10T00:00:00Z
